time	V(receiver)
6.230468749506510e-006	2.906291e-001
6.240234374506509e-006	3.670562e-001
6.249999999506509e-006	4.420689e-001
6.269531249506508e-006	5.867485e-001
6.289062499506507e-006	7.225382e-001
6.308593749506506e-006	8.474439e-001
6.328124999506506e-006	9.596286e-001
6.347656249506505e-006	1.057433e+000
6.367187499506504e-006	1.139396e+000
6.386718749506503e-006	1.204276e+000
6.406249999506502e-006	1.251069e+000
6.425781249506502e-006	1.279036e+000
6.445312499506501e-006	1.287715e+000
6.464843749506500e-006	1.276938e+000
6.484374999506499e-006	1.246842e+000
6.503906249506498e-006	1.197868e+000
6.523437499506498e-006	1.130761e+000
6.542968749506497e-006	1.046553e+000
6.562499999506496e-006	9.465427e-001
6.582031249506495e-006	8.322741e-001
6.601562499506494e-006	7.055021e-001
6.621093749506494e-006	5.681611e-001
6.640624999506493e-006	4.223315e-001
6.660156249506492e-006	2.702058e-001
6.679687499506491e-006	1.140569e-001
6.699218749506490e-006	-4.379299e-002
6.718749999506490e-006	-2.010018e-001
6.738281249506489e-006	-3.552366e-001
6.757812499506488e-006	-5.042028e-001
6.767578124506488e-006	-5.760109e-001
6.777343749506487e-006	-6.456741e-001
6.787109374506487e-006	-7.129296e-001
6.806640624506486e-006	-8.392099e-001
6.826171874506485e-006	-9.529341e-001
6.845703124506485e-006	-1.052365e+000
6.865234374506484e-006	-1.135975e+000
6.884765624506483e-006	-1.202480e+000
6.904296874506482e-006	-1.250857e+000
6.923828124506481e-006	-1.280368e+000
6.943359374506481e-006	-1.290570e+000
6.962890624506480e-006	-1.281323e+000
6.982421874506479e-006	-1.252786e+000
7.001953124506478e-006	-1.205417e+000
7.021484374506477e-006	-1.139951e+000
7.041015624506477e-006	-1.057394e+000
7.060546874506476e-006	-9.589981e-001
7.080078124506475e-006	-8.462442e-001
7.099609374506474e-006	-7.208176e-001
7.119140624506473e-006	-5.845862e-001
7.138671874506473e-006	-4.395757e-001
7.158203124506472e-006	-2.879434e-001
7.167968749506471e-006	-2.103473e-001
7.177734374506471e-006	-1.319499e-001
7.197265624506470e-006	2.607092e-002
7.216796874506469e-006	1.837455e-001
7.236328124506469e-006	3.386957e-001
7.255859374506468e-006	4.885764e-001
7.275390624506467e-006	6.311134e-001
7.285156249506467e-006	6.989463e-001
7.304687499506466e-006	8.264529e-001
7.324218749506465e-006	9.414874e-001
7.343749999506464e-006	1.042311e+000
7.363281249506463e-006	1.127407e+000
7.382812499506463e-006	1.195504e+000
7.402343749506462e-006	1.245593e+000
7.421874999506461e-006	1.276938e+000
7.441406249506460e-006	1.289088e+000
7.460937499506459e-006	1.281874e+000
7.480468749506459e-006	1.255415e+000
7.499999999506458e-006	1.210111e+000
7.519531249506457e-006	1.146636e+000
7.539062499506456e-006	1.065935e+000
7.558593749506455e-006	9.692038e-001
7.578124999506455e-006	8.578813e-001
7.597656249506454e-006	7.336271e-001
7.617187499506453e-006	5.983002e-001
7.636718749506453e-006	4.539327e-001
7.656249999506452e-006	3.026996e-001
7.675781249506452e-006	1.468851e-001
7.695312499506451e-006	-1.115361e-002
7.705078124506450e-006	-9.025984e-002
7.714843749506450e-006	-1.690245e-001
7.724609374506450e-006	-2.471495e-001
7.734374999506449e-006	-3.243394e-001
7.744140624506449e-006	-4.003027e-001
7.753906249506448e-006	-4.747526e-001
7.763671874506448e-006	-5.474088e-001
7.783203124506447e-006	-6.862540e-001
7.802734374506446e-006	-8.147551e-001
7.822265624506446e-006	-9.309894e-001
7.841796874506445e-006	-1.033221e+000
7.861328124506444e-006	-1.119927e+000
7.880859374506443e-006	-1.189814e+000
7.900390624506442e-006	-1.241839e+000
7.919921874506442e-006	-1.275223e+000
7.939453124506441e-006	-1.289459e+000
7.958984374506440e-006	-1.284326e+000
7.978515624506439e-006	-1.259890e+000
7.998046874506438e-006	-1.216508e+000
8.017578124506438e-006	-1.154821e+000
8.037109374506437e-006	-1.075750e+000
8.056640624506436e-006	-9.804806e-001
8.076171874506435e-006	-8.704483e-001
8.095703124506434e-006	-7.473143e-001
8.115234374506434e-006	-6.129404e-001
8.134765624506433e-006	-4.693586e-001
8.144531249506432e-006	-3.947884e-001
8.154296874506432e-006	-3.187389e-001
8.164062499506432e-006	-2.414972e-001
8.173828124506431e-006	-1.633546e-001
8.193359374506430e-006	-5.546891e-003
8.212890624506430e-006	1.523111e-001
8.232421874506429e-006	3.078493e-001
8.251953124506428e-006	4.587361e-001
8.271484374506427e-006	6.027112e-001
8.291015624506426e-006	7.376180e-001
8.310546874506426e-006	8.614346e-001
8.330078124506425e-006	9.723029e-001
8.349609374506424e-006	1.068555e+000
8.369140624506423e-006	1.148740e+000
8.388671874506422e-006	1.211645e+000
8.408203124506422e-006	1.256316e+000
8.427734374506421e-006	1.282071e+000
8.447265624506420e-006	1.288517e+000
8.466796874506419e-006	1.275551e+000
8.486328124506419e-006	1.243368e+000
8.505859374506418e-006	1.192452e+000
8.525390624506417e-006	1.123577e+000
8.544921874506416e-006	1.037783e+000
8.564453124506415e-006	9.363696e-001
8.583984374506415e-006	8.208683e-001
8.603515624506414e-006	6.930206e-001
8.623046874506413e-006	5.547513e-001
8.642578124506412e-006	4.081384e-001
8.662109374506411e-006	2.553829e-001
8.681640624506411e-006	9.877616e-002
8.691406249506410e-006	1.976120e-002
8.710937499506409e-006	-1.382102e-001
8.730468749506409e-006	-2.941287e-001
8.749999999506408e-006	-4.456527e-001
8.769531249506407e-006	-5.905039e-001
8.779296874506407e-006	-6.597411e-001
8.798828124506406e-006	-7.905341e-001
8.818359374506405e-006	-9.094582e-001
8.837890624506404e-006	-1.014718e+000
8.857421874506403e-006	-1.104726e+000
8.876953124506403e-006	-1.178122e+000
8.896484374506402e-006	-1.233801e+000
8.916015624506401e-006	-1.270924e+000
8.935546874506400e-006	-1.288937e+000
8.955078124506399e-006	-1.287572e+000
8.974609374506399e-006	-1.266855e+000
8.994140624506398e-006	-1.227103e+000
9.013671874506397e-006	-1.168918e+000
9.033203124506396e-006	-1.093178e+000
9.052734374506395e-006	-1.001022e+000
9.072265624506395e-006	-8.938350e-001
9.091796874506394e-006	-7.732255e-001
9.111328124506393e-006	-6.410029e-001
9.130859374506392e-006	-4.991509e-001
9.150390624506391e-006	-3.497987e-001
9.169921874506391e-006	-1.951899e-001
9.189453124506390e-006	-3.764884e-002
9.199218749506389e-006	4.148132e-002
9.208984374506389e-006	1.204540e-001
9.218749999506389e-006	1.989715e-001
9.228515624506388e-006	2.767379e-001
9.248046874506387e-006	4.288487e-001
9.267578124506387e-006	5.744941e-001
9.287109374506386e-006	7.114801e-001
9.306640624506385e-006	8.377435e-001
9.326171874506384e-006	9.513843e-001
9.345703124506384e-006	1.050694e+000
9.365234374506383e-006	1.134181e+000
9.384765624506382e-006	1.200595e+000
9.404296874506381e-006	1.248938e+000
9.423828124506380e-006	1.278490e+000
9.443359374506380e-006	1.288807e+000
9.462890624506379e-006	1.279737e+000
9.482421874506378e-006	1.251416e+000
9.501953124506377e-006	1.204269e+000
9.521484374506376e-006	1.139002e+000
9.541015624506376e-006	1.056595e+000
9.560546874506375e-006	9.582824e-001
9.580078124506374e-006	8.455420e-001
9.599609374506373e-006	7.200677e-001
9.619140624506372e-006	5.837473e-001
9.638671874506372e-006	4.386322e-001
9.648437499506371e-006	3.634555e-001
9.658203124506371e-006	2.869081e-001
9.667968749506370e-006	2.092789e-001
9.677734374506370e-006	1.308603e-001
9.697265624506369e-006	-2.716083e-002
9.716796874506368e-006	-1.847755e-001
9.736328124506368e-006	-3.396110e-001
9.755859374506367e-006	-4.893377e-001
9.775390624506366e-006	-6.317039e-001
9.794921874506365e-006	-7.645699e-001
9.814453124506364e-006	-8.859394e-001
9.833984374506364e-006	-9.939892e-001
9.853515624506363e-006	-1.087096e+000
9.873046874506362e-006	-1.163861e+000
9.892578124506361e-006	-1.223130e+000
9.912109374506360e-006	-1.264011e+000
9.931640624506360e-006	-1.285886e+000
9.951171874506359e-006	-1.288424e+000
9.970703124506358e-006	-1.271585e+000
9.990234374506357e-006	-1.235618e+000
9.999999999506357e-006	-1.208897e+000
9.999999999999999e-006	-1.206034e+000
